,Department,Department_FULL,Course_Number,Instructor_1,Instructor_2
0,AFRICAM,AFRICAN_AMERICAN_STUDIES,125AC,"Ula, Yvette, Taylor","NA, NA, NA"
1,ANTHRO,ANTHROPOLOGY,2AC,"Kirsten, NA, Vacca","NA, NA, NA"
2,ANTHRO,ANTHROPOLOGY,3AC,"Brian, B, Karl","NA, NA, NA"
3,ASAMST,ASIAN_AMERICAN_STUDIES,W20AC,"Harvey, C, Dong","NA, NA, NA"
4,COMLIT,COMPARATIVE_LITERATURE,N60AC,"Cory, NA, Merrill","NA, NA, NA"
5,COMLIT,COMPARATIVE_LITERATURE,W60AC,"Karina, Ruth-Esther, Palau","NA, NA, NA"
6,COMLIT,COMPARATIVE_LITERATURE,156AC,"Thomas, Patrick, McEnaney","NA, NA, NA"
7,EDUC,EDUCATION,W140A,"Glynda, A., Hull","Devanshi, S, Unadkat"
8,EDUC,EDUCATION,W140A,"Glynda, A., Hull","Daniele, NA, Fogel"
9,ENGLISH,ENGLISH,166AC,"Bryan, NA, Wagner","NA, NA, NA"
10,ESPM,"ENVIRONMENTAL_SCIENCE,_POLIC...",50AC,"NA, NA, NA","NA, NA, NA"
11,ETHSTD,ETHNIC_STUDIES,10AC,"John, NA, Dougherty","NA, NA, NA"
12,ETHSTD,ETHNIC_STUDIES,21AC,"Alex, M, Saragoza","NA, NA, NA"
13,ETHSTD,ETHNIC_STUDIES,122AC,"Raymond, NA, Telles","NA, NA, NA"
14,ETHSTD,ETHNIC_STUDIES,144AC,"Trina, L, Thompson","NA, NA, NA"
15,FILM,FILM_STUDIES,140AC,"Emily, Catherine, West","NA, NA, NA"
16,GEOG,GEOGRAPHY,N50AC,"John, W, Elrick","NA, NA, NA"
17,GEOG,GEOGRAPHY,70AC,"Kerby, NA, Lynch","NA, NA, NA"
18,GWS,GENDER_&_WOMEN’S_STUDIES_(fo...,100AC,"Michelle, NA, Koerner","NA, NA, NA"
19,GWS,GENDER_&_WOMEN’S_STUDIES_(fo...,130AC,"Laura, C, Nelson","NA, NA, NA"
20,HISTORY,HISTORY,7B,"NA, NA, NA","NA, NA, NA"
21,HISTORY,HISTORY,124B,"NA, NA, NA","NA, NA, NA"
22,HISTORY,HISTORY,131B,"NA, NA, NA","NA, NA, NA"
23,HISTORY,HISTORY,137AC,"NA, NA, NA","NA, NA, NA"
24,LEGALST,LEGAL_STUDIES,132AC,"Carrie, NA, Rosenbaum","NA, NA, NA"
25,LINGUIS,LINGUISTICS,155AC,"NA, NA, NA","NA, NA, NA"
26,MUSIC,MUSIC,N26AC,"Carla, S, Brunet","NA, NA, NA"
27,MUSIC,MUSIC,N26AC,"Ryan, NA, Gourley","NA, NA, NA"
28,NUSCTX,NUTRITIONAL_SCIENCE_AND_TOXI...,W104,"Kristen, K., Rasmussen","NA, NA, NA"
29,PHILOS,PHILOSOPHY,117AC,"Timothy, D, Crockett","NA, NA, NA"
30,PSYCH,PSYCHOLOGY,166AC,"Sara, M, Gorchoff","NA, NA, NA"
31,SOCIOL,SOCIOLOGY,111AC,"Mario, D., Castillo","Laura, J, Enriquez"
32,SOCIOL,SOCIOLOGY,113AC,"Brian, A, Powers","NA, NA, NA"
33,THEATER,"THEATER,_DANCE,_AND_PERFORMA...",118AC,"Abigail, T. De, Kosnik","NA, NA, NA"
