,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7
0,10AC,"Mark, NA, Brilliant","Pedro, NA, Noguera","Christine, NA, Palmer","Hertha, Sweet, Wong","Michael, NA, Cohen","NA, NA, NA","NA, NA, NA"
1,30AC,"Roberta, NA, Park","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,101AC,"Donald, NA, McQuade","David, NA, Henkin","Waldo, NA, Martin","Mark, NA, Brilliant","Michael, NA, Cohen","Kathleen, NA, Moran","Robert, NA, Nelson"
3,102AC,"Carlos, NA, Camargo","Mary, NA, Ryan","Margaret, NA, Dubin","Christine, NA, Palmer","Richard, NA, Hutson","Mark, NA, Brilliant","NA, NA, NA"
4,110AC,"Carlos, NA, Camargo","Trane, De, Vore","Richard, NA, Hutson","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,114,"Kathleen, NA, Moran","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
6,118AC,"Annalee, NA, Newitz","Steven, NA, Rubio","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
7,120,"Carlos, NA, Camargo","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
8,138AC,"Mark, NA, Brilliant","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
9,139AC,"Mark, NA, Brilliant","Waldo, NA, Martin","Sandra, Weathers, Smith","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
10,170AC,"Michael, NA, Cohen","Leigh, NA, Raiford","Beth, NA, Piatote","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
11,C174,"Hertha, NA, Wong","Lewis, NA, Watts","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
12,C178B,"Dell, NA, Upton","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
13,179AC,"Leigh, NA, Raiford","Michael, NA, Cohen","Kathleen, NA, Moran","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
