,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17
0,10AC,"Alex, NA, Saragoza","Catherine, Ceniza, Choy","Justin, NA, Gomer","Christian, NA, Paiz","Michael, SchulzeOechtering, Castaneda","John, NA, Dougherty","Lillia, NA, Soto","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,11AC,"Nelson, NA, MaldonadoTorres","Pedro, Di, Pietro","Keith, NA, Feldman","Gregory, NA, Choy","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,20AC,"NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
3,21AC,"Alex, NA, Saragoza","Kerry, NA, Riley","Henry, NA, Gutierrez","Gloria, NA, Chun","Terry, NA, Wilson","Katja, NA, May","Beatriz, NA, Tapia","Jason, NA, Ferreira","Horacio, Roque, Ramírez","Victoria, NA, Robinson","María, NA, Villaseor","Daphne, NA, TaylorGarcia","Timothy, NA, Randazzo","Emad, NA, Rezvani","Joseph, NA, Morales","Timothy, Randazzo and Kenzo, Sung","Lingchi, NA, Wang"
4,XB21AC,"Michael, NA, Tuncap","Siri, NA, Brown","Christopher, NA, Chua","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,41AC,"Carlos, Muoz, Jr","Robert, NA, Allen","José, NA, Novoa","Jason, NA, Ferreira","Harvey, NA, Dong","Jason, NA, Cato","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
6,C73AC,"Tom, NA, Biolsi","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
7,122AC,"Mario, NA, Barrera","Maile, NA, Ornellas","Nerissa, BalceCortes and Caroline, Streeter","Teresa, Osa Hidalgo de la, Riva","J, Diane, Pearson","Eli, NA, JacobsFantauzzi","Christine, NA, Kwon","JoEllen, NA, Anderson","Darby, Li Po, Price","Justin, NA, Gomer","William, NA, Gow","Raymond, NA, Telles","Ariko, S, Ikehara","Gregory, NA, Choy","NA, NA, NA","NA, NA, NA","NA, NA, NA"
8,124AC,"Terry, NA, Wilson","Patrick, NA, LeBeau","Jonathan, NA, Yorba","Nancy, NA, Ordover","Celine, Salazar, Parreas","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
9,125AC,"Timothy, NA, Taylor","Josh, NA, Kun","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
10,130AC,"Ronald, NA, Takaki","Terry, NA, Wilson","Helen, NA, LaraCea","Robert, NA, Allen","Herbert, NA, Green","David, NA, Leonard","Sara, NA, Kaplan","Michael, NA, Hurt","Kent, NA, Haldan","Jason, NA, Ferreira","Victoria, NA, Robinson","Victor, NA, Rios","Angela, NA, Villafane","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
11,133AC,"Jean, NA, MoleskyPoz","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
12,135AC,"Jean, NA, MoleskyPoz","Eithne, NA, Luibheid","Alexandro, NA, Gradilla","Kent, NA, Haldan","Anthony, NA, Tiongson","Timothy, NA, Randazzo","Delberto, Dario, Ruiz","C, Jay, Ou","Victor, NA, Rios","Sara, NA, Kaplan","Victoria, Robinson Contemporary US, immigrations","Priya, NA, Kandaswamy","Bao, NA, Lo","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
13,141,"Carlos, Muoz, Jr","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
14,144AC,"Rory, SnowArrow, Fausett","Karen, NA, Biestman","Alexandra, NA, Witkin","Charlotte, NA, Cote","Toeutu, NA, Faaleava","Dylan, NA, Rodríguez","Priya, NA, Kandaswamy","Timothy, NA, Randazzo","Delberto, Dario, Ruiz","Kirstie, NA, Dorr","John, Hayakawa, Torok","MarcTizoc, NA, Gonzalez","Thomas, NA, Fleming","Michael, NA, Chang","Trina, NA, Thompson","John, NA, Powell","NA, NA, NA"
15,145,"Margarita, NA, Melville","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
16,147AC,"Laura, NA, Perez","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
