,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11
0,40AC,"Susan, NA, Courtney","Mark, NA, Feldman","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,41AC,"Sarah, NA, Pelmas","Pamela, NA, Lougheed","David, NA, Kazanjian","Sarah, NA, Pelmas","Pamela, NA, Lougheed","Jennifer, NA, Gurley","James, NA, Salazar","Jacqueline, NA, Fulmer","Mark, NA, Feldman","Mark, NA, Pedretti","James, NA, Rogers"
2,42AC,"Gregory, Niemeyer and Charis, Thompson","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
3,129AC,"NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
4,139AC,"Michael, NA, Mascuch","James, NA, Martel","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,141AC,"Frederick, NA, Dolan","Forrest, NA, Hartman","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
6,152AC,"Nadesan, NA, Permaul","John, NA, Garcia","Amanda, NA, Armstrong","Munira, NA, Lakhandwala","Bruno, Anaya, Ortiz","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
7,162AC,"Marianne, NA, Constable","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
8,163,"David, NA, Cohen","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
9,180AC,"David, NA, Stern","Stephen, NA, Hartnett","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
